,type,value,start,end,name,createdAt,instanceId,id
0,Counter,16044,,,agent.ping.count,2022-01-23T21:03:38,pop-os,32939
1,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:03:36,pop-os,32941
2,Counter,16043,,,agent.ping.count,2022-01-23T21:03:36,pop-os,32938
3,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:03:34,pop-os,32940
4,Counter,16042,,,agent.ping.count,2022-01-23T21:03:34,pop-os,32937
5,Counter,16041,,,agent.ping.count,2022-01-23T21:03:32,pop-os,32936
6,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:03:32,pop-os,32935
7,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:03:30,pop-os,32934
8,Counter,16040,,,agent.ping.count,2022-01-23T21:03:30,pop-os,32929
9,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:03:28,pop-os,32933
10,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:03:28,agent.ping.average.failure,2022-01-23T21:03:28,pop-os,32932
11,Counter,16039,,,agent.ping.count,2022-01-23T21:03:28,pop-os,32928
12,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:26,pop-os,32931
13,Counter,16038,,,agent.ping.count,2022-01-23T21:03:26,pop-os,32927
14,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:03:24,pop-os,32930
15,Counter,16037,,,agent.ping.count,2022-01-23T21:03:24,pop-os,32926
16,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:03:22,pop-os,32925
17,Counter,16036,,,agent.ping.count,2022-01-23T21:03:22,pop-os,32920
18,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:03:20,pop-os,32924
19,Counter,16035,,,agent.ping.count,2022-01-23T21:03:20,pop-os,32919
20,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:03:18,pop-os,32923
21,Counter,16034,,,agent.ping.count,2022-01-23T21:03:18,pop-os,32918
22,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:16,pop-os,32922
23,Counter,16033,,,agent.ping.count,2022-01-23T21:03:16,pop-os,32917
24,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:14,pop-os,32921
25,Counter,16032,,,agent.ping.count,2022-01-23T21:03:14,pop-os,32916
26,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:03:12,pop-os,32915
27,Counter,16031,,,agent.ping.count,2022-01-23T21:03:12,pop-os,32910
28,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:03:10,pop-os,32914
29,Counter,16030,,,agent.ping.count,2022-01-23T21:03:10,pop-os,32909
30,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:03:08,pop-os,32913
31,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:03:08,agent.ping.average.failure,2022-01-23T21:03:08,pop-os,32912
32,Counter,16029,,,agent.ping.count,2022-01-23T21:03:08,pop-os,32908
33,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:06,pop-os,32911
34,Counter,16028,,,agent.ping.count,2022-01-23T21:03:06,pop-os,32907
35,Counter,16027,,,agent.ping.count,2022-01-23T21:03:04,pop-os,32906
36,Measurement,22,,,agent.ping.roundtriptime,2022-01-23T21:03:03,pop-os,32905
37,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:03:01,pop-os,32904
38,Counter,16026,,,agent.ping.count,2022-01-23T21:03:01,pop-os,32900
39,Measurement,10,,,agent.ping.roundtriptime,2022-01-23T21:02:59,pop-os,32903
40,Counter,16025,,,agent.ping.count,2022-01-23T21:02:59,pop-os,32899
41,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:57,pop-os,32902
42,Counter,16024,,,agent.ping.count,2022-01-23T21:02:57,pop-os,32898
43,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:55,pop-os,32901
44,Counter,16023,,,agent.ping.count,2022-01-23T21:02:55,pop-os,32897
45,Counter,16022,,,agent.ping.count,2022-01-23T21:02:53,pop-os,32896
46,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:53,pop-os,32895
47,Measurement,48,,,agent.ping.roundtriptime,2022-01-23T21:02:51,pop-os,32894
48,Counter,16021,,,agent.ping.count,2022-01-23T21:02:51,pop-os,32889
49,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:49,pop-os,32893
50,Counter,16020,,,agent.ping.count,2022-01-23T21:02:49,pop-os,32888
51,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:47,pop-os,32892
52,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:47,agent.ping.average.failure,2022-01-23T21:02:47,pop-os,32891
53,Counter,16019,,,agent.ping.count,2022-01-23T21:02:47,pop-os,32887
54,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:02:45,pop-os,32890
55,Counter,16018,,,agent.ping.count,2022-01-23T21:02:45,pop-os,32886
56,Measurement,23,,,agent.ping.roundtriptime,2022-01-23T21:02:43,pop-os,32885
57,Counter,16017,,,agent.ping.count,2022-01-23T21:02:43,pop-os,32880
58,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:02:41,pop-os,32884
59,Counter,16016,,,agent.ping.count,2022-01-23T21:02:41,pop-os,32879
60,Measurement,43,,,agent.ping.roundtriptime,2022-01-23T21:02:39,pop-os,32883
61,Counter,16015,,,agent.ping.count,2022-01-23T21:02:39,pop-os,32878
62,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:37,pop-os,32882
63,Counter,16014,,,agent.ping.count,2022-01-23T21:02:37,pop-os,32877
64,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:35,pop-os,32881
65,Counter,16013,,,agent.ping.count,2022-01-23T21:02:35,pop-os,32876
66,Measurement,26,,,agent.ping.roundtriptime,2022-01-23T21:02:33,pop-os,32875
67,Counter,16012,,,agent.ping.count,2022-01-23T21:02:33,pop-os,32870
