type,value,start,end,name,createdAt,instanceId
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:03:36,pop-os
Counter,16043,,,agent.ping.count,2022-01-23T21:03:36,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:03:34,pop-os
Counter,16042,,,agent.ping.count,2022-01-23T21:03:34,pop-os
Counter,16041,,,agent.ping.count,2022-01-23T21:03:32,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:03:32,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:03:30,pop-os
Counter,16040,,,agent.ping.count,2022-01-23T21:03:30,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:03:28,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:03:28,agent.ping.average.failure,2022-01-23T21:03:28,pop-os
Counter,16039,,,agent.ping.count,2022-01-23T21:03:28,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:26,pop-os
Counter,16038,,,agent.ping.count,2022-01-23T21:03:26,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:03:24,pop-os
Counter,16037,,,agent.ping.count,2022-01-23T21:03:24,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:03:22,pop-os
Counter,16036,,,agent.ping.count,2022-01-23T21:03:22,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:03:20,pop-os
Counter,16035,,,agent.ping.count,2022-01-23T21:03:20,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:03:18,pop-os
Counter,16034,,,agent.ping.count,2022-01-23T21:03:18,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:16,pop-os
Counter,16033,,,agent.ping.count,2022-01-23T21:03:16,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:14,pop-os
Counter,16032,,,agent.ping.count,2022-01-23T21:03:14,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:03:12,pop-os
Counter,16031,,,agent.ping.count,2022-01-23T21:03:12,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:03:10,pop-os
Counter,16030,,,agent.ping.count,2022-01-23T21:03:10,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:03:08,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:03:08,agent.ping.average.failure,2022-01-23T21:03:08,pop-os
Counter,16029,,,agent.ping.count,2022-01-23T21:03:08,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:03:06,pop-os
Counter,16028,,,agent.ping.count,2022-01-23T21:03:06,pop-os
Counter,16027,,,agent.ping.count,2022-01-23T21:03:04,pop-os
Measurement,22,,,agent.ping.roundtriptime,2022-01-23T21:03:03,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:03:01,pop-os
Counter,16026,,,agent.ping.count,2022-01-23T21:03:01,pop-os
Measurement,10,,,agent.ping.roundtriptime,2022-01-23T21:02:59,pop-os
Counter,16025,,,agent.ping.count,2022-01-23T21:02:59,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:57,pop-os
Counter,16024,,,agent.ping.count,2022-01-23T21:02:57,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:55,pop-os
Counter,16023,,,agent.ping.count,2022-01-23T21:02:55,pop-os
Counter,16022,,,agent.ping.count,2022-01-23T21:02:53,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:53,pop-os
Measurement,48,,,agent.ping.roundtriptime,2022-01-23T21:02:51,pop-os
Counter,16021,,,agent.ping.count,2022-01-23T21:02:51,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:49,pop-os
Counter,16020,,,agent.ping.count,2022-01-23T21:02:49,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:47,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:47,agent.ping.average.failure,2022-01-23T21:02:47,pop-os
Counter,16019,,,agent.ping.count,2022-01-23T21:02:47,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:02:45,pop-os
Counter,16018,,,agent.ping.count,2022-01-23T21:02:45,pop-os
Measurement,23,,,agent.ping.roundtriptime,2022-01-23T21:02:43,pop-os
Counter,16017,,,agent.ping.count,2022-01-23T21:02:43,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:02:41,pop-os
Counter,16016,,,agent.ping.count,2022-01-23T21:02:41,pop-os
Measurement,43,,,agent.ping.roundtriptime,2022-01-23T21:02:39,pop-os
Counter,16015,,,agent.ping.count,2022-01-23T21:02:39,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:37,pop-os
Counter,16014,,,agent.ping.count,2022-01-23T21:02:37,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:35,pop-os
Counter,16013,,,agent.ping.count,2022-01-23T21:02:35,pop-os
Measurement,26,,,agent.ping.roundtriptime,2022-01-23T21:02:33,pop-os
Counter,16012,,,agent.ping.count,2022-01-23T21:02:33,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:02:31,pop-os
Counter,16011,,,agent.ping.count,2022-01-23T21:02:31,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:02:29,pop-os
Counter,16010,,,agent.ping.count,2022-01-23T21:02:29,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:27,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:27,agent.ping.average.failure,2022-01-23T21:02:27,pop-os
Counter,16009,,,agent.ping.count,2022-01-23T21:02:27,pop-os
Counter,16008,,,agent.ping.count,2022-01-23T21:02:25,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:24,pop-os
Measurement,23,,,agent.ping.roundtriptime,2022-01-23T21:02:22,pop-os
Counter,16007,,,agent.ping.count,2022-01-23T21:02:22,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:20,pop-os
Counter,16006,,,agent.ping.count,2022-01-23T21:02:20,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:18,pop-os
Counter,16005,,,agent.ping.count,2022-01-23T21:02:18,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:16,pop-os
Counter,16004,,,agent.ping.count,2022-01-23T21:02:16,pop-os
